Empresa,cashAndCashEquivalents,shortTermInvestments,netReceivables,inventory,prepaidExpenses,otherCurrentAssets,propertyPlantEquipment,intangibleAssets,goodwill,longTermInvestments,deferredTaxAssets,otherNonCurrentAssets,accountsPayable,shortLongTermDebt,accruedLiabilities,incomeTaxesPayable,otherCurrentLiabilities,longTermDebt,capitalLeaseObligations,deferredTaxLiabilities,otherNonCurrentLiabilities,commonStock,retainedEarnings,netIncome,accumulatedOtherComprehensiveIncome,treasuryStock,totalStockholderEquity
ACX.MC,1262.81,83.3,,2061.56,,,,2209.4,181.48,,,,671.71,1464.31,,,1876.91,1464.31,,,1876.91,62.33,224.95,,,0.25,2527.32
BBVA.MC,59881.0,58977.0,47975.0,,,,,53164.0,700.0,,,,,74463.0,,575.0,,74463.0,1467.0,,,2824.0,50747.0,,,66.0,55654.0
BKT.MC,18014.16,,151.38,,,,,5557.22,2.28,,,,466.46,,,,,9706.48,,,,269.66,6005.47,,,1.44,5877.66
ANA.MC,4240.0,576.0,,2382.0,,672.0,,1843.0,1365.0,,,1.0,6939.0,8796.0,,,500.0,8796.0,927.0,,152.0,55.0,422.0,,,46.0,4812.0
CABK.MC,49804.0,,216.0,,,,,31758.0,3094.0,,,,1372.0,,,,,54419.0,,,,7175.0,21573.0,,,299.0,36831.0
NTGY.MC,5626.0,471.0,,807.0,,340.0,,3498.0,,,,340.0,4762.0,,,,179.0,,,,944.0,,,,,,9478.0
FER.MC,4810.0,0.0,2192.0,492.0,,1.0,,5446.0,500.0,,,399.0,1781.0,10092.0,,80.0,86.0,10092.0,245.0,,,7.0,2536.0,,,79.0,6075.0
ITX.MC,6382.0,5120.0,,3321.0,,94.0,,18069.0,196.0,,,48.0,5989.0,0.0,,,1542.14,0.0,5902.0,,71.0,94.0,18994.0,,,47.0,19676.0
REP.MC,4758.0,1670.0,,6211.0,,296.0,,23364.0,520.0,,,1116.0,5474.0,6419.0,,,,6419.0,3605.0,,654.0,1157.0,18193.0,,,2.0,26489.0
IBE.MC,4082.0,488.0,,3305.0,,7337.59,,26870.0,8618.0,,,7337.59,8515.0,40737.0,,,862.0,40737.0,2799.0,,863.0,4773.0,28687.0,,,2318.0,47125.0
IDR.MC,555.15,1.43,,658.76,,48.99,,3.22,1043.49,,,-0.0,696.86,473.88,,,200.5,473.88,132.35,,1.37,35.33,898.68,,,12.63,1297.16
MAP.MC,1746.7,23179.5,,63.2,,,,6347.6,1361.1,,,,,2571.8,,,,2571.8,2.5,,,308.0,967.5,,,25.5,8888.7
TEF.MC,8062.0,1200.0,8963.0,954.0,,1094.0,,-6989.0,16461.0,585.0,,-1.0,10586.0,31327.0,,658.0,232.0,31327.0,8303.0,,,5670.0,22609.0,,,106.0,19347.0
SCYR.MC,1620.76,80.83,,132.56,,68.16,,917.11,8.28,,,76.24,2342.55,7387.4,,,,7387.4,124.88,,,779.91,113.37,,,15.87,1006.79
SAN.MC,217892.0,19521.0,11426.0,,,,,79342.0,13438.0,,,,2454.0,288226.0,,9478.0,,288226.0,2202.0,,,7576.0,94900.0,,,68.0,98601.0
COL.MC,541.26,10.54,,0.0,,21.76,,5670.91,6.41,,,,89.19,3785.94,,,34.66,3785.94,13.86,,82.86,1568.36,1808.38,,,61.19,5677.32
ELE.MC,840.0,501.0,,1831.0,,448.0,,6112.0,462.0,,,486.0,4057.0,9183.0,,,584.0,9183.0,784.0,,4987.0,1271.0,6785.0,,,4.0,8110.0
ROVI.MC,27.19,0.23,,329.95,,2.69,,538.08,33.95,,,0.07,86.85,80.5,,,5.25,80.5,16.07,,2.75,3.07,486.21,,,5.54,572.03
MTS.MC,6400.0,6400.0,5656.0,16501.0,,436.0,,44770.0,3605.0,,,271.0,12630.0,7963.0,,480.0,327.0,7963.0,1034.0,,331.0,303.0,47254.0,,,2117.0,49223.0
MRL.MC,1550.46,11.42,,54.01,,22.35,,7499.95,1.02,,,22.35,117.03,4296.69,,,13.68,4296.69,,,73.82,563.73,283.76,,,14.45,7500.98
LOG.MC,169.17,,,1823.91,,8.85,,-632.38,1012.24,,,8.85,1447.22,,,,85.83,214.4,274.95,,,26.55,308.24,,,20.14,641.47
AENA.MC,1821.28,62.87,,6.41,,,,6770.53,,,,,260.27,,,,531.39,,,,2773.19,1500.0,3969.59,,,,8276.39
CLNX.MC,1082.77,1082.77,,7.29,,,,-8758.05,6410.99,,,,955.39,17026.55,,,178.61,17026.55,3161.99,,681.52,176.62,-28.04,,,38.46,14157.98
UNI.MC,7501.28,,0.49,,,,,6650.87,88.84,,,,179.72,,,,,4806.85,,,,642.86,4398.76,,,2.65,6739.71
SRG.MI,1806.0,,,2190.0,,12.0,,7369.0,80.0,,,374.0,987.0,14761.0,,,548.0,14761.0,59.0,,798.0,2736.0,4656.0,,,27.0,8929.0
PIRC.MI,1502.74,165.97,,1467.65,,,,596.34,1886.71,,,,2081.62,2688.13,,,,2688.13,485.63,,,1904.38,467.98,,,,5756.07
PRY.MI,1033.0,43.0,,2858.0,,,,172.0,3499.0,,,,2462.0,4926.0,,,,4926.0,310.0,,,30.0,729.0,,,,5087.0
ISP.MI,51375.0,,521.0,,,,,55316.0,3697.0,,,,1752.0,,,,,146573.0,,,,10369.0,5644.0,,,179.0,65176.0
BMED.MI,1282.7,,368.05,,,,,3812.81,125.62,,,,179.11,,,,,396.88,,,,600.69,1119.63,,,77.41,4025.72
ENI.MI,8129.0,6797.0,18594.0,6259.0,,1938.0,,46351.0,3167.0,1395.0,,5382.0,15170.0,21570.0,,587.0,2943.0,21570.0,6453.0,,3593.0,4005.0,35176.0,,,2883.0,52785.0
BMPS.MI,14400.12,,6.97,,,,,11492.88,7.9,,,,191.75,,,,,12526.97,,,,7453.45,1950.78,,,,11648.95
BZU.MI,1410.44,1.44,,881.27,,17.64,,5597.68,872.79,,,17.64,337.57,328.39,,,,328.39,76.8,,,123.64,5971.5,,,278.11,6602.61
TRN.MI,2311.5,446.1,,108.2,,,,6542.0,250.9,,,,3524.5,11410.4,,,332.6,11410.4,,,1091.5,442.2,4651.7,,,,7524.2
BAMI.MI,12124.84,,,,,,,13347.33,,,,,,,,,,24037.92,,,,,,,,,14603.94
LDO.MI,2556.0,2556.0,,5655.0,,183.0,,262.0,4537.0,22.0,,26.0,3763.0,1817.0,,,512.0,1817.0,641.0,,368.0,2509.0,,,,,8990.0
MONC.MI,1187.98,69.4,,470.08,,0.0,,1876.38,603.42,,,0.0,540.91,15.27,,,,15.27,924.21,,,54.96,639.6,,,,3586.58
FBK.MI,2263.3,,125.51,,,,,2264.47,89.6,,,,3.73,,,,,868.4,,,,201.63,652.28,,,1.08,2389.31
PST.MI,8837.0,34405.0,,177.0,,,,9444.0,796.0,,,324.0,1781.0,6188.0,,,10543.0,6188.0,1269.0,,-2.0,1306.0,8855.0,,,109.0,11583.0
RACE.MI,1742.21,5.66,2083.56,1088.19,,16.94,,1203.1,785.18,,,16.94,945.66,3225.62,,,44.97,3225.62,126.27,,44.97,2.57,3518.26,,,,3533.95
IG.MI,359.26,3.59,,57.23,,184.21,,-6375.35,190.46,,,614.57,249.66,6161.09,,,0.43,6161.09,90.48,,566.99,1003.84,1278.49,,,,2457.92
