ticker_market,market,name,country,ticket,index
NESN.SW,SIX Swiss Exchange,Nestlé SA,Switzerland,NESN,SMI (Swiss Market Index)
ROG.SW,SIX Swiss Exchange,Roche Holding AG,Switzerland,ROG,SMI (Swiss Market Index)
NOVN.SW,SIX Swiss Exchange,Novartis AG,Switzerland,NOVN,SMI (Swiss Market Index)
CFR.SW,SIX Swiss Exchange,Compagnie Financière Richemont SA,Switzerland,CFR,SMI (Swiss Market Index)
ZURN.SW,SIX Swiss Exchange,Zurich Insurance Group AG,Switzerland,ZURN,SMI (Swiss Market Index)
UBSG.SW,SIX Swiss Exchange,UBS Group AG,Switzerland,UBSG,SMI (Swiss Market Index)
ABBN.SW,SIX Swiss Exchange,ABB Ltd,Switzerland,ABBN,SMI (Swiss Market Index)
LONN.SW,SIX Swiss Exchange,Lonza Group AG,Switzerland,LONN,SMI (Swiss Market Index)
SIKA.SW,SIX Swiss Exchange,Sika AG,Switzerland,SIKA,SMI (Swiss Market Index)
ALC.SW,SIX Swiss Exchange,Alcon Inc,Switzerland,ALC,SMI (Swiss Market Index)
GIVN.SW,SIX Swiss Exchange,Givaudan SA,Switzerland,GIVN,SMI (Swiss Market Index)
HOLN.SW,SIX Swiss Exchange,Holcim Ltd,Switzerland,HOLN,SMI (Swiss Market Index)
SCMN.SW,SIX Swiss Exchange,Swisscom AG,Switzerland,SCMN,SMI (Swiss Market Index)
PGHN.SW,SIX Swiss Exchange,Partners Group Holding AG,Switzerland,PGHN,SMI (Swiss Market Index)
SREN.SW,SIX Swiss Exchange,Swiss Re AG,Switzerland,SREN,SMI (Swiss Market Index)
SOON.SW,SIX Swiss Exchange,Sonova Holding AG,Switzerland,SOON,SMI (Swiss Market Index)
GEBN.SW,SIX Swiss Exchange,Geberit AG,Switzerland,GEBN,SMI (Swiss Market Index)
SLHN.SW,SIX Swiss Exchange,Swiss Life Holding AG,Switzerland,SLHN,SMI (Swiss Market Index)
LOGN.SW,SIX Swiss Exchange,Logitech International S.A.,Switzerland,LOGN,SMI (Swiss Market Index)
KNIN.SW,SIX Swiss Exchange,Kuehne + Nagel International AG,Switzerland,KNIN,SMI (Swiss Market Index)
A2A.MI,Borsa Italiana (Milan),A2A S.p.A.,Italy,A2A,FTSE MIB
AMP.MI,Borsa Italiana (Milan),Amplifon S.p.A.,Italy,AMP,FTSE MIB
AZM.MI,Borsa Italiana (Milan),Azimut Holding S.p.A.,Italy,AZM,FTSE MIB
BMED.MI,Borsa Italiana (Milan),Banca Mediolanum S.p.A.,Italy,BMED,FTSE MIB
BMPS.MI,Borsa Italiana (Milan),Banca Monte dei Paschi di Siena S.p.A.,Italy,BMPS,FTSE MIB
BAMI.MI,Borsa Italiana (Milan),Banco BPM S.p.A.,Italy,BAMI,FTSE MIB
BPSO.MI,Borsa Italiana (Milan),Banca Popolare di Sondrio S.p.A.,Italy,BPSO,FTSE MIB
BPE.MI,Borsa Italiana (Milan),BPER Banca S.p.A.,Italy,BPE,FTSE MIB
BC.MI,Borsa Italiana (Milan),Brunello Cucinelli S.p.A.,Italy,BC,FTSE MIB
BZU.MI,Borsa Italiana (Milan),Buzzi S.p.A.,Italy,BZU,FTSE MIB
CPR.MI,Borsa Italiana (Milan),Davide Campari‑Milano N.V. (Campari),Italy,CPR,FTSE MIB
DIA.MI,Borsa Italiana (Milan),DiaSorin S.p.A.,Italy,DIA,FTSE MIB
ENEL.MI,Borsa Italiana (Milan),Enel S.p.A.,Italy,ENEL,FTSE MIB
ENI.MI,Borsa Italiana (Milan),Eni S.p.A.,Italy,ENI,FTSE MIB
RACE.MI,Borsa Italiana (Milan),Ferrari N.V.,Italy,RACE,FTSE MIB
FBK.MI,Borsa Italiana (Milan),FinecoBank S.p.A.,Italy,FBK,FTSE MIB
G.MI,Borsa Italiana (Milan),Assicurazioni Generali S.p.A.,Italy,G,FTSE MIB
HER.MI,Borsa Italiana (Milan),Hera S.p.A.,Italy,HER,FTSE MIB
IP.MI,Borsa Italiana (Milan),Interpump Group S.p.A.,Italy,IP,FTSE MIB
ISP.MI,Borsa Italiana (Milan),Intesa Sanpaolo S.p.A.,Italy,ISP,FTSE MIB
INW.MI,Borsa Italiana (Milan),INWIT S.p.A.,Italy,INW,FTSE MIB
IG.MI,Borsa Italiana (Milan),Italgas S.p.A.,Italy,IG,FTSE MIB
IVG.MI,Borsa Italiana (Milan),Iveco Group N.V.,Italy,IVG,FTSE MIB
LDO.MI,Borsa Italiana (Milan),Leonardo S.p.A.,Italy,LDO,FTSE MIB
MB.MI,Borsa Italiana (Milan),Mediobanca S.p.A.,Italy,MB,FTSE MIB
MONC.MI,Borsa Italiana (Milan),Moncler S.p.A.,Italy,MONC,FTSE MIB
NEXI.MI,Borsa Italiana (Milan),Nexi S.p.A.,Italy,NEXI,FTSE MIB
PIRC.MI,Borsa Italiana (Milan),Pirelli & C. S.p.A.,Italy,PIRC,FTSE MIB
PST.MI,Borsa Italiana (Milan),Poste Italiane S.p.A.,Italy,PST,FTSE MIB
PRY.MI,Borsa Italiana (Milan),Prysmian S.p.A.,Italy,PRY,FTSE MIB
REC.MI,Borsa Italiana (Milan),Recordati S.p.A.,Italy,REC,FTSE MIB
SPM.MI,Borsa Italiana (Milan),Saipem S.p.A.,Italy,SPM,FTSE MIB
SRG.MI,Borsa Italiana (Milan),Snam S.p.A.,Italy,SRG,FTSE MIB
STLAM.MI,Borsa Italiana (Milan),Stellantis N.V.,Italy,STLAM,FTSE MIB
STMMI.MI,Borsa Italiana (Milan),STMicroelectronics N.V.,Italy,STMMI,FTSE MIB
TIT.MI,Borsa Italiana (Milan),Telecom Italia S.p.A.,Italy,TIT,FTSE MIB
TEN.MI,Borsa Italiana (Milan),Tenaris S.A.,Italy,TEN,FTSE MIB
TRN.MI,Borsa Italiana (Milan),Terna S.p.A.,Italy,TRN,FTSE MIB
UCG.MI,Borsa Italiana (Milan),UniCredit S.p.A.,Italy,UCG,FTSE MIB
UNI.MI,Borsa Italiana (Milan),Unipol Gruppo S.p.A.,Italy,UNI,FTSE MIB
ABB.ST,Nasdaq Stockholm,ABB Ltd,Sweden,ABB,OMX Stockholm 30
ADDT-B.ST,Nasdaq Stockholm,Addtech AB Class B,Sweden,ADDT-B,OMX Stockholm 30
ALFA.ST,Nasdaq Stockholm,Alfa Laval AB,Sweden,ALFA,OMX Stockholm 30
ASSA-B.ST,Nasdaq Stockholm,ASSA ABLOY AB Class B,Sweden,ASSA-B,OMX Stockholm 30
AZN.ST,Nasdaq Stockholm,AstraZeneca PLC,Sweden,AZN,OMX Stockholm 30
ATCO-A.ST,Nasdaq Stockholm,Atlas Copco AB Class A,Sweden,ATCO-A,OMX Stockholm 30
ATCO-B.ST,Nasdaq Stockholm,Atlas Copco AB Class B,Sweden,ATCO-B,OMX Stockholm 30
BOL.ST,Nasdaq Stockholm,Boliden AB,Sweden,BOL,OMX Stockholm 30
EPI-A.ST,Nasdaq Stockholm,Epiroc AB Class A,Sweden,EPI-A,OMX Stockholm 30
EQT.ST,Nasdaq Stockholm,EQT AB,Sweden,EQT,OMX Stockholm 30
ERIC-B.ST,Nasdaq Stockholm,Telefonaktiebolaget LM Ericsson Class B,Sweden,ERIC-B,OMX Stockholm 30
ESSITY-B.ST,Nasdaq Stockholm,Essity AB Class B,Sweden,ESSITY-B,OMX Stockholm 30
EVO.ST,Nasdaq Stockholm,Evolution AB,Sweden,EVO,OMX Stockholm 30
SHB-A.ST,Nasdaq Stockholm,Svenska Handelsbanken AB Class A,Sweden,SHB-A,OMX Stockholm 30
HM-B.ST,Nasdaq Stockholm,Hennes & Mauritz AB Class B,Sweden,HM-B,OMX Stockholm 30
HEXA-B.ST,Nasdaq Stockholm,Hexagon AB Class B,Sweden,HEXA-B,OMX Stockholm 30
INDU-C.ST,Nasdaq Stockholm,Industrivärden AB Class C,Sweden,INDU-C,OMX Stockholm 30
INVE-B.ST,Nasdaq Stockholm,Investor AB Class B,Sweden,INVE-B,OMX Stockholm 30
LIFCO-B.ST,Nasdaq Stockholm,Lifco AB Class B,Sweden,LIFCO-B,OMX Stockholm 30
NIBE-B.ST,Nasdaq Stockholm,NIBE Industrier AB Class B,Sweden,NIBE-B,OMX Stockholm 30
NDA-SE.ST,Nasdaq Stockholm,Nordea Bank Abp,Sweden,NDA-SE,OMX Stockholm 30
SAAB-B.ST,Nasdaq Stockholm,Saab AB Class B,Sweden,SAAB-B,OMX Stockholm 30
SAND.ST,Nasdaq Stockholm,Sandvik AB,Sweden,SAND,OMX Stockholm 30
SCA-B.ST,Nasdaq Stockholm,Svenska Cellulosa AB SCA Class B,Sweden,SCA-B,OMX Stockholm 30
SEB-A.ST,Nasdaq Stockholm,Skandinaviska Enskilda Banken AB Class A,Sweden,SEB-A,OMX Stockholm 30
SKA-B.ST,Nasdaq Stockholm,Skanska AB Class B,Sweden,SKA-B,OMX Stockholm 30
SKF-B.ST,Nasdaq Stockholm,AB SKF Class B,Sweden,SKF-B,OMX Stockholm 30
SWED-A.ST,Nasdaq Stockholm,Swedbank AB Class A,Sweden,SWED-A,OMX Stockholm 30
TEL2-B.ST,Nasdaq Stockholm,Tele2 AB Class B,Sweden,TEL2-B,OMX Stockholm 30
TELIA.ST,Nasdaq Stockholm,Telia Company AB,Sweden,TELIA,OMX Stockholm 30
VOLV-B.ST,Nasdaq Stockholm,AB Volvo Class B,Sweden,VOLV-B,OMX Stockholm 30
ABN.AS,Euronext Amsterdam (XAMS),ABN AMRO Bank N.V.,Netherlands,ABN,AEX
ADYEN.AS,Euronext Amsterdam (XAMS),Adyen N.V.,Netherlands,ADYEN,AEX
AGN.AS,Euronext Amsterdam (XAMS),Aegon N.V.,Netherlands,AGN,AEX
AD.AS,Euronext Amsterdam (XAMS),Ahold Delhaize N.V.,Netherlands,AD,AEX
AKZA.AS,Euronext Amsterdam (XAMS),Akzo Nobel N.V.,Netherlands,AKZA,AEX
MT.AS,Euronext Amsterdam (XAMS),ArcelorMittal S.A.,Netherlands,MT,AEX
ASM.AS,Euronext Amsterdam (XAMS),ASM International N.V.,Netherlands,ASM,AEX
ASML.AS,Euronext Amsterdam (XAMS),ASML Holding N.V.,Netherlands,ASML,AEX
ASRNL.AS,Euronext Amsterdam (XAMS),ASR Nederland N.V.,Netherlands,ASRNL,AEX
BESI.AS,Euronext Amsterdam (XAMS),BE Semiconductor Industries N.V.,Netherlands,BESI,AEX
DSFIR.AS,Euronext Amsterdam (XAMS),DSM‑Firmenich AG,Netherlands,DSFIR,AEX
EXO.AS,Euronext Amsterdam (XAMS),EXOR N.V.,Netherlands,EXO,AEX
HEIA.AS,Euronext Amsterdam (XAMS),Heineken N.V.,Netherlands,HEIA,AEX
IMCD.AS,Euronext Amsterdam (XAMS),IMCD N.V.,Netherlands,IMCD,AEX
INGA.AS,Euronext Amsterdam (XAMS),ING Groep N.V.,Netherlands,INGA,AEX
KPN.AS,Euronext Amsterdam (XAMS),Koninklijke KPN N.V.,Netherlands,KPN,AEX
NN.AS,Euronext Amsterdam (XAMS),NN Group N.V.,Netherlands,NN,AEX
PHIA.AS,Euronext Amsterdam (XAMS),Koninklijke Philips N.V.,Netherlands,PHIA,AEX
PRX.AS,Euronext Amsterdam (XAMS),Prosus N.V.,Netherlands,PRX,AEX
RAND.AS,Euronext Amsterdam (XAMS),Randstad N.V.,Netherlands,RAND,AEX
REN.AS,Euronext Amsterdam (XAMS),RELX PLC,Netherlands,REN,AEX
SHELL.AS,Euronext Amsterdam (XAMS),Shell plc,Netherlands,SHELL,AEX
UMG.AS,Euronext Amsterdam (XAMS),Universal Music Group N.V.,Netherlands,UMG,AEX
UNA.AS,Euronext Amsterdam (XAMS),Unilever PLC,Netherlands,UNA,AEX
WKL.AS,Euronext Amsterdam (XAMS),Wolters Kluwer N.V.,Netherlands,WKL,AEX
III.L,LSE (London Stock Exchange),3i,United Kingdom,III,FTSE 100
ADM.L,LSE (London Stock Exchange),Admiral Group,United Kingdom,ADM,FTSE 100
AAF.L,LSE (London Stock Exchange),Airtel Africa,United Kingdom,AAF,FTSE 100
ALW.L,LSE (London Stock Exchange),Alliance Witan,United Kingdom,ALW,FTSE 100
AAL.L,LSE (London Stock Exchange),Anglo American plc,United Kingdom,AAL,FTSE 100
ANTO.L,LSE (London Stock Exchange),Antofagasta plc,United Kingdom,ANTO,FTSE 100
AHT.L,LSE (London Stock Exchange),Ashtead Group,United Kingdom,AHT,FTSE 100
ABF.L,LSE (London Stock Exchange),Associated British Foods,United Kingdom,ABF,FTSE 100
AZN.L,LSE (London Stock Exchange),AstraZeneca,United Kingdom,AZN,FTSE 100
AUTO.L,LSE (London Stock Exchange),Auto Trader Group,United Kingdom,AUTO,FTSE 100
AV.L,LSE (London Stock Exchange),Aviva,United Kingdom,AV,FTSE 100
BAB.L,LSE (London Stock Exchange),Babcock International,United Kingdom,BAB,FTSE 100
BA.L,LSE (London Stock Exchange),BAE Systems,United Kingdom,BA,FTSE 100
BARC.L,LSE (London Stock Exchange),Barclays,United Kingdom,BARC,FTSE 100
BTRW.L,LSE (London Stock Exchange),Barratt Redrow,United Kingdom,BTRW,FTSE 100
BEZ.L,LSE (London Stock Exchange),Beazley,United Kingdom,BEZ,FTSE 100
BKG.L,LSE (London Stock Exchange),Berkeley Group Holdings,United Kingdom,BKG,FTSE 100
BP.L,LSE (London Stock Exchange),BP,United Kingdom,BP,FTSE 100
BATS.L,LSE (London Stock Exchange),British American Tobacco,United Kingdom,BATS,FTSE 100
BT-A.L,LSE (London Stock Exchange),BT Group,United Kingdom,BT-A,FTSE 100
BNZL.L,LSE (London Stock Exchange),Bunzl,United Kingdom,BNZL,FTSE 100
CNA.L,LSE (London Stock Exchange),Centrica,United Kingdom,CNA,FTSE 100
CCEP.L,LSE (London Stock Exchange),Coca-Cola Europacific Partners,United Kingdom,CCEP,FTSE 100
CCH.L,LSE (London Stock Exchange),Coca-Cola HBC,United Kingdom,CCH,FTSE 100
CPG.L,LSE (London Stock Exchange),Compass Group,United Kingdom,CPG,FTSE 100
CTEC.L,LSE (London Stock Exchange),Convatec,United Kingdom,CTEC,FTSE 100
CRDA.L,LSE (London Stock Exchange),Croda International,United Kingdom,CRDA,FTSE 100
DCC.L,LSE (London Stock Exchange),DCC plc,United Kingdom,DCC,FTSE 100
DGE.L,LSE (London Stock Exchange),Diageo,United Kingdom,DGE,FTSE 100
DPLM.L,LSE (London Stock Exchange),Diploma,United Kingdom,DPLM,FTSE 100
EDV.L,LSE (London Stock Exchange),Endeavour Mining,United Kingdom,EDV,FTSE 100
ENT.L,LSE (London Stock Exchange),Entain,United Kingdom,ENT,FTSE 100
EZJ.L,LSE (London Stock Exchange),EasyJet,United Kingdom,EZJ,FTSE 100
EXPN.L,LSE (London Stock Exchange),Experian,United Kingdom,EXPN,FTSE 100
FCIT.L,LSE (London Stock Exchange),F & C Investment Trust,United Kingdom,FCIT,FTSE 100
FRES.L,LSE (London Stock Exchange),Fresnillo plc,United Kingdom,FRES,FTSE 100
GAW.L,LSE (London Stock Exchange),Games Workshop,United Kingdom,GAW,FTSE 100
GLEN.L,LSE (London Stock Exchange),Glencore,United Kingdom,GLEN,FTSE 100
GSK.L,LSE (London Stock Exchange),GSK plc,United Kingdom,GSK,FTSE 100
HLN.L,LSE (London Stock Exchange),Haleon,United Kingdom,HLN,FTSE 100
HLMA.L,LSE (London Stock Exchange),Halma plc,United Kingdom,HLMA,FTSE 100
HIK.L,LSE (London Stock Exchange),Hikma Pharmaceuticals,United Kingdom,HIK,FTSE 100
HSX.L,LSE (London Stock Exchange),Hiscox,United Kingdom,HSX,FTSE 100
HWDN.L,LSE (London Stock Exchange),Howdens Joinery,United Kingdom,HWDN,FTSE 100
HSBA.L,LSE (London Stock Exchange),HSBC,United Kingdom,HSBA,FTSE 100
ICG.L,LSE (London Stock Exchange),ICG,United Kingdom,ICG,FTSE 100
IHG.L,LSE (London Stock Exchange),IHG Hotels & Resorts,United Kingdom,IHG,FTSE 100
IMI.L,LSE (London Stock Exchange),IMI,United Kingdom,IMI,FTSE 100
IMB.L,LSE (London Stock Exchange),Imperial Brands,United Kingdom,IMB,FTSE 100
INF.L,LSE (London Stock Exchange),Informa,United Kingdom,INF,FTSE 100
IAG.L,LSE (London Stock Exchange),International Airlines Group,United Kingdom,IAG,FTSE 100
ITRK.L,LSE (London Stock Exchange),Intertek,United Kingdom,ITRK,FTSE 100
JD.L,LSE (London Stock Exchange),JD Sports,United Kingdom,JD,FTSE 100
KGF.L,LSE (London Stock Exchange),Kingfisher plc,United Kingdom,KGF,FTSE 100
LAND.L,LSE (London Stock Exchange),Land Securities,United Kingdom,LAND,FTSE 100
LGEN.L,LSE (London Stock Exchange),Legal & General,United Kingdom,LGEN,FTSE 100
LLOY.L,LSE (London Stock Exchange),Lloyds Banking Group,United Kingdom,LLOY,FTSE 100
LMP.L,LSE (London Stock Exchange),LondonMetric Property,United Kingdom,LMP,FTSE 100
LSEG.L,LSE (London Stock Exchange),London Stock Exchange Group,United Kingdom,LSEG,FTSE 100
MNG.L,LSE (London Stock Exchange),M&G,United Kingdom,MNG,FTSE 100
MKS.L,LSE (London Stock Exchange),Marks & Spencer,United Kingdom,MKS,FTSE 100
MRO.L,LSE (London Stock Exchange),Melrose Industries,United Kingdom,MRO,FTSE 100
